"","id","search_query","topic","top_terms"
"1",24439,"israel palestine war",1,"war, gaza, netanyahu, support, end"
"2",24439,"israel palestine war",2,"netanyahu, may, also, war, israel"
"3",24439,"israel palestine war",3,"israeli, netanyahu, ministers, october, victory"
"4",63950,"israel palestine war",1,"people, jewish, see, zionism, palestine"
"5",63950,"israel palestine war",2,"people, religion, zionism, can, know"
"6",63950,"israel palestine war",3,"jewish, people, judaism, know, now"
"7",79726,"israel palestine war",1,"madrasa, children, good, started, schools"
"8",79726,"israel palestine war",2,"sexual, abuse, family, one, justice"
"9",79726,"israel palestine war",3,"one, know, children, pakistan, madrasa"
"10",56956,"israel palestine war",1,"gaza, actually, know, people, aid"
"11",56956,"israel palestine war",2,"people, know, now, gaza, israeli"
"12",56956,"israel palestine war",3,"gaza, aid, israel, can, people"
"13",96340,"israel palestine war",1,"jerusalem, going, know, green, line"
"14",96340,"israel palestine war",2,"one, line, living, temple, say"
"15",96340,"israel palestine war",3,"green, temple, israel, palestinians, line"
"16",36403,"israel palestine war",1,"israeli, gaza, genocide, say, war"
"17",36403,"israel palestine war",2,"israel, war, gaza, palestinians, aid"
"18",36403,"israel palestine war",3,"gaza, israel, aid, now, israeli"
"19",70293,"israel palestine war",1,"israeli, really, army, now, soldier"
"20",70293,"israel palestine war",2,"soldiers, pressure, two, gaza, israeli"
"21",70293,"israel palestine war",3,"israeli, also, soldiers, gaza, captives"
"22",95248,"israel palestine war",1,"israeli, gaza, one, systems, drones"
"23",95248,"israel palestine war",2,"can, palestinians, also, hamas, know"
"24",95248,"israel palestine war",3,"israel, technology, military, gaza, people"
"25",65006,"israel palestine war",1,"mean, just, well, people, know"
"26",65006,"israel palestine war",2,"going, people, gaza, just, know"
"27",65006,"israel palestine war",3,"people, international, know, like, law"
"28",79255,"israel palestine war",1,"american, israeli, people, can, settlers"
"29",79255,"israel palestine war",2,"settlements, palestinians, israeli, going, israel"
"30",79255,"israel palestine war",3,"israeli, settlers, palestinians, soldiers, one"
"31",64312,"israel palestine war",1,"rescue, can, people, four, ship"
